Real,Previsto
15.0,0.0
6.0,0.0
7.0,0.0
65.0,0.0
12.0,0.0
29.0,0.0
38.0,0.0
12.0,0.0
8.0,0.0
10.0,0.0
7.0,0.0
9.0,0.0
62.0,0.0
19.0,0.0
26.0,0.0
77.0,0.0
8594.0,6805.753565567358
164.0,304.24243410857406
3.0,0.0
39.0,0.0
637.0,233.83227799300397
78.0,0.0
2.0,0.0
15.0,0.0
5.0,0.0
5.0,0.0
1.0,0.0
5.0,0.0
1.0,0.0
5.0,0.0
1.0,0.0
7.0,0.0
4.0,0.0
7.0,0.0
1.0,0.0
4.0,0.0
2.0,0.0
6.0,0.0
6.0,0.0
1.0,0.0
4.0,0.0
6.0,0.0
1.0,0.0
133.0,0.0
5.0,0.0
66.0,31.31569149598056
88.0,291.00342007491787
53.0,0.0
2.0,0.0
14.0,0.0
25.0,0.0
7.0,0.0
33.0,6.955884210165323
11.0,0.0
20.0,0.0
140.0,0.0
382.0,47.11018153015726
83.0,0.0
242.0,0.0
30.0,0.0
7.0,0.0
26.0,0.0
99.0,0.0
365.0,116.71190465812003
4.0,0.0
132.0,0.0
116.0,4.302162003208906
7.0,0.0
6.0,0.0
4.0,0.0
3.0,0.0
2.0,0.0
5.0,0.0
58.0,57.12346712760586
107.0,0.0
41.0,0.0
45.0,0.0
128.0,0.0
130.0,0.0
101.0,23.983742363594388
95.0,15.68068016351242
94.0,1.0021753004443212
7.0,0.0
248.0,154.9699481094139
175.0,0.0
2.0,0.0
1635.0,1893.917484109163
1.0,0.0
1.0,0.0
13.0,0.0
1.0,0.0
16.0,0.0
45.0,0.0
361.0,241.82722680737436
46.0,0.0
17.0,0.0
60.0,0.0
4.0,0.0
12.0,0.0
46.0,0.0
30.0,0.0
4.0,0.0
7.0,0.0
8.0,0.0
113.0,0.0
132.0,0.0
135.0,0.0
8.0,0.0
135.0,0.0
100.0,0.0
12.0,0.0
12.0,0.0
13.0,0.0
104.0,796.9506040231686
95.0,0.0
91.0,0.0
9.0,0.0
18.0,0.0
4.0,0.0
70.0,0.0
7.0,0.0
4.0,0.0
5.0,0.0
13.0,0.0
13.0,0.0
30.0,0.0
61.0,0.0
5.0,0.0
397.0,139.77370074898334
11.0,0.0
11.0,0.0
4.0,0.0
2.0,0.0
4.0,0.0
12.0,0.0
3.0,0.0
2.0,0.0
7.0,0.0
28.0,0.0
7.0,0.0
11.0,0.0
10.0,0.0
7.0,0.0
21.0,0.0
8.0,0.0
44.0,0.0
19.0,0.0
29.0,0.0
23.0,0.0
22.0,0.0
20.0,0.0
8.0,0.0
2.0,0.0
3.0,0.0
6.0,0.0
21.0,0.0
34.0,0.0
17.0,0.0
4.0,0.0
13.0,0.0
32.0,0.0
2.0,0.0
1.0,0.0
5.0,0.0
11.0,0.0
13.0,0.0
4.0,0.0
99.0,0.0
3.0,0.0
2.0,0.0
4.0,0.0
1.0,0.0
5.0,0.0
9.0,0.0
3.0,0.0
9.0,0.0
162.0,0.0
30.0,0.0
15.0,0.0
100.0,0.0
0.0,0.0
1.0,0.0
28.0,0.0
17.0,0.0
35.0,0.0
1.0,0.0
5.0,0.0
82.0,0.0
33.0,0.0
9.0,0.0
109.0,0.0
10.0,0.0
50.0,20.802934780853036
